ProteinName,UniProt ID,DiseaseName,UMLS concept ID
KiSS-1 receptor,Q969F8,Breast Carcinoma,C0678222
NF-kappa-B inhibitor alpha,P25963,Breast Carcinoma,C0678222
Activin receptor type-2A,P27037,Breast Carcinoma,C0678222
Transmembrane glycoprotein NMB,Q14956,Breast Carcinoma,C0678222
Microtubule-associated protein tau,P10636,Breast Carcinoma,C0678222
Microtubule-associated protein 4,P27816,Breast Carcinoma,C0678222
Pro-neuropeptide Y,P01303,Breast Carcinoma,C0678222
Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,P16615,Breast Carcinoma,C0678222
Tumor necrosis factor receptor superfamily member 8,P28908,Breast Carcinoma,C0678222
Cytochrome P450 26A1,O43174,Breast Carcinoma,C0678222
"HLA class I histocompatibility antigen, A-3 alpha chain",P04439,Breast Carcinoma,C0678222
"HLA class I histocompatibility antigen, A-3 alpha chain",P04439,Breast Carcinoma,C0678222
Interleukin-15,P40933,Breast Carcinoma,C0678222
Leukotriene B4 receptor 2,Q9NPC1,Breast Carcinoma,C0678222
Leukotriene B4 receptor 1,Q15722,Breast Carcinoma,C0678222
Insulin,P01308,Breast Carcinoma,C0678222
Tyrosine-protein kinase JAK3,P52333,Breast Carcinoma,C0678222
Endoglin,P17813,Breast Carcinoma,C0678222
Platelet-derived growth factor subunit B,P01127,Breast Carcinoma,C0678222
Mucin-1,P15941,Breast Carcinoma,C0678222
Prolyl endopeptidase FAP,Q12884,Breast Carcinoma,C0678222
Parathyroid hormone/parathyroid hormone-related peptide receptor,Q03431,Breast Carcinoma,C0678222
Bcl-2-like protein 1,Q07817,Breast Carcinoma,C0678222
Induced myeloid leukemia cell differentiation protein Mcl-1,Q07820,Breast Carcinoma,C0678222
Casein kinase I isoform epsilon,P49674,Breast Carcinoma,C0678222
Casein kinase I isoform epsilon,P49674,Breast Carcinoma,C0678222
Heat shock factor protein 1,Q00613,Breast Carcinoma,C0678222
1-aminocyclopropane-1-carboxylate synthase-like protein 1,Q96QU6,Breast Carcinoma,C0678222
Cholesteryl ester transfer protein,P11597,Breast Carcinoma,C0678222
Tumor necrosis factor ligand superfamily member 11,O14788,Breast Carcinoma,C0678222
Toll-like receptor 8,Q9NR97,Breast Carcinoma,C0678222
Interleukin-4,P05112,Breast Carcinoma,C0678222
Prostaglandin E2 receptor EP4 subtype,P35408,Breast Carcinoma,C0678222
Histone deacetylase 4,P56524,Breast Carcinoma,C0678222
Histone deacetylase 7,Q8WUI4,Breast Carcinoma,C0678222
Somatostatin receptor type 2,P30874,Breast Carcinoma,C0678222
Cytochrome P450 2E1,P05181,Breast Carcinoma,C0678222
Cytochrome P450 2C19,P33261,Breast Carcinoma,C0678222
"Cholesterol side-chain cleavage enzyme, mitochondrial",P05108,Breast Carcinoma,C0678222
UDP-glucuronosyltransferase 1-1,P22309,Breast Carcinoma,C0678222
Cytochrome P450 1A1,P04798,Breast Carcinoma,C0678222
"Alkaline phosphatase, tissue-nonspecific isozyme",P05186,Breast Carcinoma,C0678222
Cytochrome P450 2B6,P20813,Breast Carcinoma,C0678222
C-X-C chemokine receptor type 1,P25024,Breast Carcinoma,C0678222
Eosinophil peroxidase,P11678,Breast Carcinoma,C0678222
"6-phosphogluconate dehydrogenase, decarboxylating",P52209,Breast Carcinoma,C0678222
Voltage-dependent calcium channel subunit alpha-2/delta-3,Q8IZS8,Breast Carcinoma,C0678222
Rho-related GTP-binding protein RhoB,P62745,Breast Carcinoma,C0678222
Major histocompatibility complex class I-related gene protein,Q95460,Breast Carcinoma,C0678222
Integrin beta-1,P05556,Breast Carcinoma,C0678222
Integrin alpha-V,P06756,Breast Carcinoma,C0678222
Guanylate cyclase soluble subunit alpha-2,P33402,Breast Carcinoma,C0678222
Nischarin,Q9Y2I1,Breast Carcinoma,C0678222
Potassium channel subfamily K member 9,Q9NPC2,Breast Carcinoma,C0678222
Neuronal acetylcholine receptor subunit alpha-5,P30532,Breast Carcinoma,C0678222
Gamma-aminobutyric acid receptor subunit pi,O00591,Breast Carcinoma,C0678222
Gamma-aminobutyric acid receptor subunit theta,Q9UN88,Breast Carcinoma,C0678222
Alpha-lactalbumin,P00709,Breast Carcinoma,C0678222
Protein S100-A2,P29034,Breast Carcinoma,C0678222
BDNF/NT-3 growth factors receptor,Q16620,Breast Carcinoma,C0678222
Cytochrome P450 2C18,P33260,Breast Carcinoma,C0678222
Cytochrome P450 3A7,P24462,Breast Carcinoma,C0678222
Cytochrome P450 3A7,P24462,Breast Carcinoma,C0678222
Ribonucleoside-diphosphate reductase subunit M2 B,Q7LG56,Breast Carcinoma,C0678222
DNA polymerase epsilon catalytic subunit A,Q07864,Breast Carcinoma,C0678222
Gastric triacylglycerol lipase,P07098,Breast Carcinoma,C0678222
Cation-independent mannose-6-phosphate receptor,P11717,Breast Carcinoma,C0678222
"Carbonic anhydrase 5A, mitochondrial",P35218,Breast Carcinoma,C0678222
Carbonic anhydrase-related protein 10,Q9NS85,Breast Carcinoma,C0678222
Carbonic anhydrase-related protein 11,O75493,Breast Carcinoma,C0678222
Carbonic anhydrase 13,Q8N1Q1,Breast Carcinoma,C0678222
Sodium channel subunit beta-1,Q07699,Breast Carcinoma,C0678222
Sodium channel subunit beta-4,Q8IWT1,Breast Carcinoma,C0678222
Multidrug resistance-associated protein 5,O15440,Breast Carcinoma,C0678222
Solute carrier organic anion transporter family member 1B3,Q9NPD5,Breast Carcinoma,C0678222
Stromelysin-2,P09238,Breast Carcinoma,C0678222
Matrilysin,P09237,Breast Carcinoma,C0678222
Stromelysin-3,P24347,Breast Carcinoma,C0678222
Matrix metalloproteinase-14,P50281,Breast Carcinoma,C0678222
Matrix metalloproteinase-15,P51511,Breast Carcinoma,C0678222
Matrix metalloproteinase-17,Q9ULZ9,Breast Carcinoma,C0678222
Matrix metalloproteinase-21,Q8N119,Breast Carcinoma,C0678222
Matrix metalloproteinase-23,O75900,Breast Carcinoma,C0678222
Matrix metalloproteinase-26,Q9NRE1,Breast Carcinoma,C0678222
Tubulin gamma-1 chain,P23258,Breast Carcinoma,C0678222
"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",O60658,Breast Carcinoma,C0678222
Pannexin-1,Q96RD7,Breast Carcinoma,C0678222
Aryl hydrocarbon receptor,P35869,Breast Carcinoma,C0678222
Steroid hormone receptor ERR1,P11474,Breast Carcinoma,C0678222
Nuclear receptor coactivator 1,Q15788,Breast Carcinoma,C0678222
Phosphatidylinositol 3-kinase catalytic subunit type 3,Q8NEB9,Breast Carcinoma,C0678222
A disintegrin and metalloproteinase with thrombospondin motifs 5,Q9UNA0,Breast Carcinoma,C0678222
Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,P63092,Breast Carcinoma,C0678222
Cyclin-A2,P20248,Breast Carcinoma,C0678222
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,Q13526,Breast Carcinoma,C0678222
Nuclear receptor coactivator 2,Q15596,Breast Carcinoma,C0678222
Nuclear receptor-interacting protein 1,P48552,Breast Carcinoma,C0678222
Serine/threonine-protein kinase PLK1,P53350,Breast Carcinoma,C0678222
Prostasin,Q16651,Breast Carcinoma,C0678222
Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform,Q13362,Breast Carcinoma,C0678222
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,P30153,Breast Carcinoma,C0678222
Lysozyme C,P61626,Breast Carcinoma,C0678222
Carboxypeptidase A1,P15085,Breast Carcinoma,C0678222
Disintegrin and metalloproteinase domain-containing protein 17,P78536,Breast Carcinoma,C0678222
Protein S100-A7,P31151,Breast Carcinoma,C0678222
cAMP-dependent protein kinase catalytic subunit alpha,P17612,Breast Carcinoma,C0678222
Mitogen-activated protein kinase 9,P45984,Breast Carcinoma,C0678222
BAG family molecular chaperone regulator 1,Q99933,Breast Carcinoma,C0678222
Heat shock cognate 71 kDa protein,P11142,Breast Carcinoma,C0678222
Beta-2-microglobulin,P61769,Breast Carcinoma,C0678222
TGF-beta receptor type-1,P36897,Breast Carcinoma,C0678222
Low molecular weight phosphotyrosine protein phosphatase,P24666,Breast Carcinoma,C0678222
Dual specificity protein phosphatase 23,Q9BVJ7,Breast Carcinoma,C0678222
Death-associated protein kinase 3,O43293,Breast Carcinoma,C0678222
Mitogen-activated protein kinase 8,P45983,Breast Carcinoma,C0678222
Dual specificity protein kinase TTK,P33981,Breast Carcinoma,C0678222
Calcium/calmodulin-dependent protein kinase type II subunit beta,Q13554,Breast Carcinoma,C0678222
Endothelin-converting enzyme 1,P42892,Breast Carcinoma,C0678222
Prostaglandin reductase 1,Q14914,Breast Carcinoma,C0678222
Serine/threonine-protein kinase Nek2,P51955,Breast Carcinoma,C0678222
Poly [ADP-ribose] polymerase 2,Q9UGN5,Breast Carcinoma,C0678222
Inner centromere protein,Q9NQS7,Breast Carcinoma,C0678222
Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,P62136,Breast Carcinoma,C0678222
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,P63151,Breast Carcinoma,C0678222
"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial",Q8IVS2,Breast Carcinoma,C0678222
ADP-ribosylation factor 1,P84077,Breast Carcinoma,C0678222
Cyclin-dependent kinase 5 activator 1,Q15078,Breast Carcinoma,C0678222
60S ribosomal protein L23,P62829,Breast Carcinoma,C0678222
60S ribosomal protein L23a,P62750,Breast Carcinoma,C0678222
60S ribosomal protein L8,P62917,Breast Carcinoma,C0678222
60S ribosomal protein L3,P39023,Breast Carcinoma,C0678222
Serine/threonine-protein kinase/endoribonuclease IRE1,O75460,Breast Carcinoma,C0678222
Triosephosphate isomerase,P60174,Breast Carcinoma,C0678222
Nuclear receptor subfamily 1 group I member 3,Q14994,Breast Carcinoma,C0678222
"Cytochrome c1, heme protein, mitochondrial",P08574,Breast Carcinoma,C0678222
"Cytochrome b-c1 complex subunit Rieske, mitochondrial",P47985,Breast Carcinoma,C0678222
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",Q15118,Breast Carcinoma,C0678222
DNA polymerase kappa,Q9UBT6,Breast Carcinoma,C0678222
Disintegrin and metalloproteinase domain-containing protein 28,Q9UKQ2,Breast Carcinoma,C0678222
Cytosol aminopeptidase,P28838,Breast Carcinoma,C0678222
Lens fiber major intrinsic protein,P30301,Breast Carcinoma,C0678222
Proteasome subunit beta type-4,P28070,Breast Carcinoma,C0678222
Proteasome subunit beta type-7,Q99436,Breast Carcinoma,C0678222
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4",Q16877,Breast Carcinoma,C0678222
Glycodelin,P09466,Breast Carcinoma,C0678222
Retinoid-inducible serine carboxypeptidase,Q9HB40,Breast Carcinoma,C0678222
Casein kinase II subunit alpha',P19784,Breast Carcinoma,C0678222
"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",P13073,Breast Carcinoma,C0678222
Cytochrome c oxidase subunit 3,P00414,Breast Carcinoma,C0678222
"Cytochrome c oxidase subunit 5A, mitochondrial",P20674,Breast Carcinoma,C0678222
"Cytochrome c oxidase subunit 5B, mitochondrial",P10606,Breast Carcinoma,C0678222
Cytochrome c oxidase subunit 6C,P09669,Breast Carcinoma,C0678222
"Cytochrome c oxidase subunit 8A, mitochondrial",P10176,Breast Carcinoma,C0678222
Phospholipase A2,P04054,Breast Carcinoma,C0678222
Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Q13627,Breast Carcinoma,C0678222
Hepatocyte nuclear factor 4-alpha,P41235,Breast Carcinoma,C0678222
Very low-density lipoprotein receptor,P98155,Breast Carcinoma,C0678222
Group IID secretory phospholipase A2,Q9UNK4,Breast Carcinoma,C0678222
STE20-like serine/threonine-protein kinase,Q9H2G2,Breast Carcinoma,C0678222
Poly [ADP-ribose] polymerase 3,Q9Y6F1,Breast Carcinoma,C0678222
Nuclear receptor coactivator 5,Q9HCD5,Breast Carcinoma,C0678222
GTPase KRas,P01116,Breast Carcinoma,C0678222
Cyclin-dependent kinase 16,Q00536,Breast Carcinoma,C0678222
"HLA class I histocompatibility antigen, B-27 alpha chain",P01889,Breast Carcinoma,C0678222
Polyubiquitin-C,P0CG48,Breast Carcinoma,C0678222
Serine/threonine-protein kinase Sgk1,O00141,Breast Carcinoma,C0678222
Profilin-1,P07737,Breast Carcinoma,C0678222
Ephrin type-A receptor 7,Q15375,Breast Carcinoma,C0678222
Calpain small subunit 1,P04632,Breast Carcinoma,C0678222
Tyrosine-protein kinase JAK1,P23458,Breast Carcinoma,C0678222
Non-receptor tyrosine-protein kinase TYK2,P29597,Breast Carcinoma,C0678222
Annexin A5,P08758,Breast Carcinoma,C0678222
Kallikrein-7,P49862,Breast Carcinoma,C0678222
MKL/myocardin-like protein 1,Q969V6,Breast Carcinoma,C0678222
Gelsolin,P06396,Breast Carcinoma,C0678222
Nuclear factor erythroid 2-related factor 1,Q14494,Breast Carcinoma,C0678222
Cofilin-1,P23528,Breast Carcinoma,C0678222
Rho-associated protein kinase 2,O75116,Breast Carcinoma,C0678222
Carcinoembryonic antigen-related cell adhesion molecule 5,P06731,Breast Carcinoma,C0678222
Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,Q08209,Breast Carcinoma,C0678222
ADP-ribosylation factor 6,P62330,Breast Carcinoma,C0678222
Poliovirus receptor,P15151,Breast Carcinoma,C0678222
Actin-related protein 2/3 complex subunit 1B,O15143,Breast Carcinoma,C0678222
Actin-related protein 2,P61160,Breast Carcinoma,C0678222
Actin-related protein 2/3 complex subunit 2,O15144,Breast Carcinoma,C0678222
Tyrosine-protein kinase Mer,Q12866,Breast Carcinoma,C0678222
Long-chain-fatty-acid--CoA ligase ACSBG1,Q96GR2,Breast Carcinoma,C0678222
Ribosomal protein S6 kinase alpha-1,Q15418,Breast Carcinoma,C0678222
Elongation factor 2,P13639,Breast Carcinoma,C0678222
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial",Q16654,Breast Carcinoma,C0678222
Uteroglobin,P11684,Breast Carcinoma,C0678222
Profilin-2,P35080,Breast Carcinoma,C0678222
"Alkaline phosphatase, placental type",P05187,Breast Carcinoma,C0678222
Tyrosine-protein kinase Lyn,P07948,Breast Carcinoma,C0678222
Calcium/calmodulin-dependent protein kinase type 1D,Q8IU85,Breast Carcinoma,C0678222
Glycylpeptide N-tetradecanoyltransferase 1,P30419,Breast Carcinoma,C0678222
Galectin-9,O00182,Breast Carcinoma,C0678222
Afadin,P55196,Breast Carcinoma,C0678222
Protein S100-A4,P26447,Breast Carcinoma,C0678222
Alcohol dehydrogenase [NADP(+)],P14550,Breast Carcinoma,C0678222
Aldo-keto reductase family 1 member B10,O60218,Breast Carcinoma,C0678222
CREB-binding protein,Q92793,Breast Carcinoma,C0678222
Valacyclovir hydrolase,Q86WA6,Breast Carcinoma,C0678222
Mediator of RNA polymerase II transcription subunit 1,Q15648,Breast Carcinoma,C0678222
Mitogen-activated protein kinase kinase kinase 9,P80192,Breast Carcinoma,C0678222
NmrA-like family domain-containing protein 1,Q9HBL8,Breast Carcinoma,C0678222
tRNA-splicing ligase RtcB homolog,Q9Y3I0,Breast Carcinoma,C0678222
Stromal cell-derived factor 2,Q99470,Breast Carcinoma,C0678222
Mothers against decapentaplegic homolog 2,Q15796,Breast Carcinoma,C0678222
Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,P15170,Breast Carcinoma,C0678222
"Superoxide dismutase [Mn], mitochondrial",P04179,Breast Carcinoma,C0678222
Phosphoglycerate kinase 1,P00558,Breast Carcinoma,C0678222
Trefoil factor 2,Q03403,Breast Carcinoma,C0678222
"HLA class II histocompatibility antigen, DQ beta 1 chain",P01920,Breast Carcinoma,C0678222
Myoglobin,P02144,Breast Carcinoma,C0678222
Vimentin,P08670,Breast Carcinoma,C0678222
Uridine 5'-monophosphate synthase,P11172,Breast Carcinoma,C0678222
cAMP-dependent protein kinase catalytic subunit beta,P22694,Breast Carcinoma,C0678222
"NADPH:adrenodoxin oxidoreductase, mitochondrial",P22570,Breast Carcinoma,C0678222
Mannose-binding protein C,P11226,Breast Carcinoma,C0678222
Homeobox protein engrailed-2,P19622,Breast Carcinoma,C0678222
Synapsin-1,P17600,Breast Carcinoma,C0678222
Myosin-11,P35749,Breast Carcinoma,C0678222
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1",P51178,Breast Carcinoma,C0678222
Galectin-1,P09382,Breast Carcinoma,C0678222
Antigen-presenting glycoprotein CD1d,P15813,Breast Carcinoma,C0678222
Inositol-3-phosphate synthase 1,Q9NPH2,Breast Carcinoma,C0678222
"Enoyl-CoA hydratase, mitochondrial",P30084,Breast Carcinoma,C0678222
"Aconitate hydratase, mitochondrial",Q99798,Breast Carcinoma,C0678222
Transforming growth factor beta-3,P10600,Breast Carcinoma,C0678222
Hepatocyte nuclear factor 1-alpha,P20823,Breast Carcinoma,C0678222
Radixin,P35241,Breast Carcinoma,C0678222
"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",P26572,Breast Carcinoma,C0678222
"Inositol 1,4,5-trisphosphate receptor type 1",Q14643,Breast Carcinoma,C0678222
V-type proton ATPase subunit C 1,P21283,Breast Carcinoma,C0678222
Follistatin,P19883,Breast Carcinoma,C0678222
"Isocitrate dehydrogenase [NADP], mitochondrial",P48735,Breast Carcinoma,C0678222
Elongation factor 1-alpha 1,P68104,Breast Carcinoma,C0678222
Ubiquitin-conjugating enzyme E2 D2,P62837,Breast Carcinoma,C0678222
Fumarylacetoacetase,P16930,Breast Carcinoma,C0678222
Ras-related protein Rab-5A,P20339,Breast Carcinoma,C0678222
Palmitoyl-protein thioesterase 1,P50897,Breast Carcinoma,C0678222
Cathelicidin antimicrobial peptide,P49913,Breast Carcinoma,C0678222
Tubby protein homolog,P50607,Breast Carcinoma,C0678222
Nuclear receptor ROR-alpha,P35398,Breast Carcinoma,C0678222
"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",Q9NTG7,Breast Carcinoma,C0678222
Ephrin type-B receptor 2,P29323,Breast Carcinoma,C0678222
Gamma-enolase,P09104,Breast Carcinoma,C0678222
Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,Q9GZU7,Breast Carcinoma,C0678222
Cyclin-dependent kinases regulatory subunit 1,P61024,Breast Carcinoma,C0678222
T-complex protein 1 subunit gamma,P49368,Breast Carcinoma,C0678222
Neuronal calcium sensor 1,P62166,Breast Carcinoma,C0678222
Ras-related protein Rab-11A,P62491,Breast Carcinoma,C0678222
GTP-binding nuclear protein Ran,P62826,Breast Carcinoma,C0678222
Carboxypeptidase D,O75976,Breast Carcinoma,C0678222
Acylphosphatase-2,P14621,Breast Carcinoma,C0678222
14-3-3 protein epsilon,P62258,Breast Carcinoma,C0678222
Transitional endoplasmic reticulum ATPase,P55072,Breast Carcinoma,C0678222
Histone acetyltransferase KAT5,Q92993,Breast Carcinoma,C0678222
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,O60264,Breast Carcinoma,C0678222
Histone acetyltransferase KAT2A,Q92830,Breast Carcinoma,C0678222
Serotonin N-acetyltransferase,Q16613,Breast Carcinoma,C0678222
Sialoadhesin,Q9BZZ2,Breast Carcinoma,C0678222
GTP-binding protein Rheb,Q15382,Breast Carcinoma,C0678222
Protein arginine N-methyltransferase 1,Q99873,Breast Carcinoma,C0678222
Aurora kinase C,Q9UQB9,Breast Carcinoma,C0678222
Rho-related GTP-binding protein RhoE,P61587,Breast Carcinoma,C0678222
Versican core protein,P13611,Breast Carcinoma,C0678222
Ribosomal protein S6 kinase alpha-4,O75676,Breast Carcinoma,C0678222
Cell division control protein 42 homolog,P60953,Breast Carcinoma,C0678222
Kinesin-like protein KIF2C,Q99661,Breast Carcinoma,C0678222
Transient receptor potential cation channel subfamily M member 7,Q96QT4,Breast Carcinoma,C0678222
Hepatocyte growth factor-regulated tyrosine kinase substrate,O14964,Breast Carcinoma,C0678222
Eukaryotic translation initiation factor 2 subunit 3,P41091,Breast Carcinoma,C0678222
Carboxypeptidase Q,Q9Y646,Breast Carcinoma,C0678222
Peroxiredoxin-6,P30041,Breast Carcinoma,C0678222
Inhibitor of nuclear factor kappa-B kinase subunit alpha,O15111,Breast Carcinoma,C0678222
Smoothened homolog,Q99835,Breast Carcinoma,C0678222
Chromaffin granule amine transporter,P54219,Breast Carcinoma,C0678222
High affinity immunoglobulin gamma Fc receptor IB,Q92637,Breast Carcinoma,C0678222
Myc proto-oncogene protein,P01106,Breast Carcinoma,C0678222
Hyaluronan mediated motility receptor,O75330,Breast Carcinoma,C0678222
SH2B adapter protein 3,Q9UQQ2,Breast Carcinoma,C0678222
Potassium voltage-gated channel subfamily A member 5,P22460,Breast Carcinoma,C0678222
Protein-tyrosine kinase 6,Q13882,Breast Carcinoma,C0678222
Interleukin-1 alpha,P01583,Breast Carcinoma,C0678222
Interleukin-1 receptor antagonist protein,P18510,Breast Carcinoma,C0678222
Vascular endothelial growth factor B,P49765,Breast Carcinoma,C0678222
Proteasome subunit beta type-9,P28065,Breast Carcinoma,C0678222
Proteasome subunit beta type-8,P28062,Breast Carcinoma,C0678222
Discoidin domain-containing receptor 2,Q16832,Breast Carcinoma,C0678222
Tyrosine-protein kinase FRK,P42685,Breast Carcinoma,C0678222
Breakpoint cluster region protein,P11274,Breast Carcinoma,C0678222
Mitogen-activated protein kinase kinase kinase 2,Q9Y2U5,Breast Carcinoma,C0678222
Anoctamin-1,Q5XXA6,Breast Carcinoma,C0678222
Sodium/glucose cotransporter 2,P31639,Breast Carcinoma,C0678222
Kelch-like ECH-associated protein 1,Q14145,Breast Carcinoma,C0678222
Serine/threonine-protein kinase SIK1,P57059,Breast Carcinoma,C0678222
LIM domain kinase 1,P53667,Breast Carcinoma,C0678222
Receptor tyrosine-protein kinase erbB-4,Q15303,Breast Carcinoma,C0678222
Metallothionein-1A,P04731,Breast Carcinoma,C0678222
Metallothionein-2,P02795,Breast Carcinoma,C0678222
"HLA class II histocompatibility antigen, DR alpha chain",P01903,Breast Carcinoma,C0678222
"HLA class II histocompatibility antigen, DR beta 3 chain",P79483,Breast Carcinoma,C0678222
"HLA class II histocompatibility antigen, DR beta 5 chain",Q30154,Breast Carcinoma,C0678222
"HLA class II histocompatibility antigen, DRB1-15 beta chain",P01911,Breast Carcinoma,C0678222
Gamma-aminobutyric acid receptor subunit alpha-3,P34903,Breast Carcinoma,C0678222
Gamma-aminobutyric acid receptor subunit pi,O00591,Breast Carcinoma,C0678222
Gamma-aminobutyric acid receptor subunit theta,Q9UN88,Breast Carcinoma,C0678222
"Solute carrier family 52, riboflavin transporter, member 2",Q9HAB3,Breast Carcinoma,C0678222
Transferrin receptor protein 1,P02786,Breast Carcinoma,C0678222
"Glutamate receptor ionotropic, NMDA 1",Q05586,Breast Carcinoma,C0678222
"Glutamate receptor ionotropic, NMDA 3B",O60391,Breast Carcinoma,C0678222
5-hydroxytryptamine receptor 1B,P28222,Breast Carcinoma,C0678222
5-hydroxytryptamine receptor 2A,P28223,Breast Carcinoma,C0678222
5-hydroxytryptamine receptor 3C,Q8WXA8,Breast Carcinoma,C0678222
Alpha-1A adrenergic receptor,P35348,Breast Carcinoma,C0678222
Alpha-1D adrenergic receptor,P25100,Breast Carcinoma,C0678222
Alpha-2A adrenergic receptor,P08913,Breast Carcinoma,C0678222
Alpha-2B adrenergic receptor,P18089,Breast Carcinoma,C0678222
Alpha-2C adrenergic receptor,P18825,Breast Carcinoma,C0678222
Cytochrome P450 3A4,P08684,Breast Carcinoma,C0678222
Cytochrome P450 3A43,Q9HB55,Breast Carcinoma,C0678222
Cytochrome P450 3A5,P20815,Breast Carcinoma,C0678222
Cytochrome P450 3A7,P24462,Breast Carcinoma,C0678222
Cytochrome P450 3A7,P24462,Breast Carcinoma,C0678222
Beta-1 adrenergic receptor,P08588,Breast Carcinoma,C0678222
Beta-2 adrenergic receptor,P07550,Breast Carcinoma,C0678222
Beta-3 adrenergic receptor,P13945,Breast Carcinoma,C0678222
Serine-protein kinase ATM,Q13315,Breast Carcinoma,C0678222
Ribosomal protein S6 kinase alpha-3,P51812,Breast Carcinoma,C0678222
"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",Q15125,Breast Carcinoma,C0678222
"Nuclear factor of activated T-cells, cytoplasmic 1",O95644,Breast Carcinoma,C0678222
5-hydroxytryptamine receptor 2A,P28223,Breast Carcinoma,C0678222
3-oxo-5-alpha-steroid 4-dehydrogenase 1,P18405,Breast Carcinoma,C0678222
3-oxo-5-alpha-steroid 4-dehydrogenase 2,P31213,Breast Carcinoma,C0678222
Alpha-1A adrenergic receptor,P35348,Breast Carcinoma,C0678222
Alpha-1D adrenergic receptor,P25100,Breast Carcinoma,C0678222
Alpha-2A adrenergic receptor,P08913,Breast Carcinoma,C0678222
Alpha-2B adrenergic receptor,P18089,Breast Carcinoma,C0678222
Alpha-2C adrenergic receptor,P18825,Breast Carcinoma,C0678222
D(1A) dopamine receptor,P21728,Breast Carcinoma,C0678222
D(1B) dopamine receptor,P21918,Breast Carcinoma,C0678222
Protein kinase C alpha type,P17252,Breast Carcinoma,C0678222
Protein kinase C beta type,P05771,Breast Carcinoma,C0678222
Protein kinase C delta type,Q05655,Breast Carcinoma,C0678222
Protein kinase C epsilon type,Q02156,Breast Carcinoma,C0678222
Protein kinase C zeta type,Q05513,Breast Carcinoma,C0678222
Membrane-associated progesterone receptor component 1,O00264,Breast Carcinoma,C0678222
Membrane-associated progesterone receptor component 1,O00264,Breast Carcinoma,C0678222
Sigma non-opioid intracellular receptor 1,Q99720,Breast Carcinoma,C0678222
Sodium channel protein type 2 subunit alpha,Q99250,Breast Carcinoma,C0678222
Sodium channel protein type 3 subunit alpha,Q9NY46,Breast Carcinoma,C0678222
Sodium channel protein type 5 subunit alpha,Q14524,Breast Carcinoma,C0678222
Sodium channel subunit beta-1,Q07699,Breast Carcinoma,C0678222
Sodium channel subunit beta-4,Q8IWT1,Breast Carcinoma,C0678222
Voltage-dependent calcium channel gamma-2 subunit,Q9Y698,Breast Carcinoma,C0678222
Voltage-dependent calcium channel subunit alpha-2/delta-2,Q9NY47,Breast Carcinoma,C0678222
Voltage-dependent calcium channel subunit alpha-2/delta-3,Q8IZS8,Breast Carcinoma,C0678222
Voltage-dependent R-type calcium channel subunit alpha-1E,Q15878,Breast Carcinoma,C0678222
Voltage-dependent T-type calcium channel subunit alpha-1G,O43497,Breast Carcinoma,C0678222
Voltage-dependent T-type calcium channel subunit alpha-1H,O95180,Breast Carcinoma,C0678222
Voltage-dependent T-type calcium channel subunit alpha-1I,Q9P0X4,Breast Carcinoma,C0678222
Nuclear factor NF-kappa-B p100 subunit,Q00653,Breast Carcinoma,C0678222
Nuclear factor NF-kappa-B p105 subunit,P19838,Breast Carcinoma,C0678222
Cytochrome b-245 light chain,P13498,Breast Carcinoma,C0678222
Ras-related C3 botulinum toxin substrate 1,P63000,Breast Carcinoma,C0678222
Ras-related C3 botulinum toxin substrate 2,P15153,Breast Carcinoma,C0678222
Calcium-activated potassium channel subunit alpha-1,Q12791,Breast Carcinoma,C0678222
Intermediate conductance calcium-activated potassium channel protein 4,O15554,Breast Carcinoma,C0678222
Small conductance calcium-activated potassium channel protein 3,Q9UGI6,Breast Carcinoma,C0678222
5'-AMP-activated protein kinase catalytic subunit alpha-1,Q13131,Breast Carcinoma,C0678222
5'-AMP-activated protein kinase catalytic subunit alpha-2,P54646,Breast Carcinoma,C0678222
5'-AMP-activated protein kinase subunit beta-1,Q9Y478,Breast Carcinoma,C0678222
5'-AMP-activated protein kinase subunit gamma-2,Q9UGJ0,Breast Carcinoma,C0678222
