Drug name,DrugBank ID,ProteinName,UniProt ID
Clonazepam,DB01068,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Clonazepam,DB01068,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Clonazepam,DB01068,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
Clonazepam,DB01068,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Clonazepam,DB01068,Nuclear receptor subfamily 1 group I member 2,O75469
Clonidine,DB00575,Alpha-2A adrenergic receptor,P08913
Clonidine,DB00575,Alpha-2B adrenergic receptor,P18089
Clonidine,DB00575,Alpha-2C adrenergic receptor,P18825
Clonidine,DB00575,Alpha-1A adrenergic receptor,P35348
Clonidine,DB00575,Alpha-1B adrenergic receptor,P35368
Clonidine,DB00575,Alpha-1D adrenergic receptor,P25100
Clopidogrel,DB00758,P2Y purinoceptor 12,Q9H244
Clotrimazole,DB00257,Lanosterol 14-alpha demethylase,P10613
Clotrimazole,DB00257,Intermediate conductance calcium-activated potassium channel protein 4,O15554
Clotrimazole,DB00257,Nuclear receptor subfamily 1 group I member 2,O75469
Clotrimazole,DB00257,Hydroxycarboxylic acid receptor 2,Q8TDS4
Clozapine,DB00363,D(2) dopamine receptor,P14416
Clozapine,DB00363,5-hydroxytryptamine receptor 2A,P28223
Clozapine,DB00363,D(1A) dopamine receptor,P21728
Clozapine,DB00363,D(3) dopamine receptor,P35462
Clozapine,DB00363,D(4) dopamine receptor,P21917
Clozapine,DB00363,5-hydroxytryptamine receptor 1A,P08908
Clozapine,DB00363,5-hydroxytryptamine receptor 1B,P28222
Clozapine,DB00363,5-hydroxytryptamine receptor 1D,P28221
Clozapine,DB00363,5-hydroxytryptamine receptor 1E,P28566
Clozapine,DB00363,5-hydroxytryptamine receptor 3A,P46098
Clozapine,DB00363,5-hydroxytryptamine receptor 2C,P28335
Clozapine,DB00363,5-hydroxytryptamine receptor 7,P34969
Clozapine,DB00363,5-hydroxytryptamine receptor 6,P50406
Clozapine,DB00363,Histamine H1 receptor,P35367
Clozapine,DB00363,Histamine H4 receptor,Q9H3N8
Clozapine,DB00363,Alpha-1A adrenergic receptor,P35348
Clozapine,DB00363,Alpha-1B adrenergic receptor,P35368
Clozapine,DB00363,Alpha-2A adrenergic receptor,P08913
Clozapine,DB00363,Alpha-2B adrenergic receptor,P18089
Clozapine,DB00363,Alpha-2C adrenergic receptor,P18825
Clozapine,DB00363,Muscarinic acetylcholine receptor M1,P11229
Clozapine,DB00363,Muscarinic acetylcholine receptor M2,P08172
Clozapine,DB00363,Muscarinic acetylcholine receptor M3,P20309
Clozapine,DB00363,Muscarinic acetylcholine receptor M4,P08173
Clozapine,DB00363,Muscarinic acetylcholine receptor M5,P08912
Clozapine,DB00363,Neuron-specific vesicular protein calcyon,Q9NYX4
Clozapine,DB00363,Glutathione S-transferase P,P09211
Cocaine,DB00907,Sodium-dependent dopamine transporter,Q01959
Cocaine,DB00907,Sodium-dependent noradrenaline transporter,P23975
Cocaine,DB00907,Sodium-dependent serotonin transporter,P31645
Cocaine,DB00907,Sodium channel protein type 1 subunit alpha,P35498
Cocaine,DB00907,Sodium channel protein type 10 subunit alpha,Q9Y5Y9
Cocaine,DB00907,Sodium channel protein type 11 subunit alpha,Q9UI33
Cocaine,DB00907,Sodium channel protein type 2 subunit alpha,Q99250
Cocaine,DB00907,Sodium channel protein type 3 subunit alpha,Q9NY46
Cocaine,DB00907,Sodium channel protein type 4 subunit alpha,P35499
Cocaine,DB00907,Sodium channel protein type 5 subunit alpha,Q14524
Cocaine,DB00907,Sodium channel protein type 7 subunit alpha,Q01118
Cocaine,DB00907,Sodium channel protein type 8 subunit alpha,Q9UQD0
Cocaine,DB00907,Sodium channel protein type 9 subunit alpha,Q15858
Cocaine,DB00907,Sodium channel subunit beta-1,Q07699
Cocaine,DB00907,Sodium channel subunit beta-2,O60939
Cocaine,DB00907,Sodium channel subunit beta-3,Q9NY72
Cocaine,DB00907,Sodium channel subunit beta-4,Q8IWT1
Cocaine,DB00907,Muscarinic acetylcholine receptor M1,P11229
Cocaine,DB00907,Muscarinic acetylcholine receptor M2,P08172
Cocaine,DB00907,Sigma non-opioid intracellular receptor 1,Q99720
Cocaine,DB00907,Liver carboxylesterase 1,P23141
Codeine,DB00318,Mu-type opioid receptor,P35372
Codeine,DB00318,Kappa-type opioid receptor,P41145
Codeine,DB00318,Delta-type opioid receptor,P41143
Colchicine,DB01394,Tubulin beta chain,P07437
Cyanocobalamin,DB00115,Methionine synthase,Q99707
Cyanocobalamin,DB00115,"Methylmalonyl-CoA mutase, mitochondrial",P22033
Cyanocobalamin,DB00115,Methionine synthase reductase,Q9UBK8
Cyanocobalamin,DB00115,"Methylmalonic aciduria type A protein, mitochondrial",Q8IVH4
Cyanocobalamin,DB00115,Methylmalonic aciduria and homocystinuria type C protein,Q9Y4U1
Cyanocobalamin,DB00115,Methylenetetrahydrofolate reductase,P42898
Cyclizine,DB01176,Histamine H1 receptor,P35367
Cyclizine,DB01176,Estrogen sulfotransferase,P49888
Cyclobenzaprine,DB00924,5-hydroxytryptamine receptor 2A,P28223
Cyclobenzaprine,DB00924,5-hydroxytryptamine receptor 2B,P41595
Cyclobenzaprine,DB00924,5-hydroxytryptamine receptor 2C,P28335
Cyclobenzaprine,DB00924,5-hydroxytryptamine receptor 6,P50406
Cyclobenzaprine,DB00924,Sodium-dependent serotonin transporter,P31645
Cyclobenzaprine,DB00924,Sodium-dependent noradrenaline transporter,P23975
Cyclobenzaprine,DB00924,5-hydroxytryptamine receptor 7,P34969
Cyclobenzaprine,DB00924,Toll-like receptor 4,O00206
Cyclobenzaprine,DB00924,Aldehyde oxidase,Q06278
Cyclosporine,DB00091,Calcium signal-modulating cyclophilin ligand,P49069
Cyclosporine,DB00091,Calcineurin subunit B type 2,Q96LZ3
Cyclosporine,DB00091,Peptidyl-prolyl cis-trans isomerase A,P62937
Cyclosporine,DB00091,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",P30405
Cyproheptadine,DB00434,Histamine H1 receptor,P35367
Cyproheptadine,DB00434,5-hydroxytryptamine receptor 2A,P28223
Cyproheptadine,DB00434,5-hydroxytryptamine receptor 2C,P28335
Cyproheptadine,DB00434,Muscarinic acetylcholine receptor M1,P11229
Cyproheptadine,DB00434,Muscarinic acetylcholine receptor M2,P08172
Cyproheptadine,DB00434,Muscarinic acetylcholine receptor M3,P20309
Cyproheptadine,DB00434,5-hydroxytryptamine receptor 7,P34969
Cytarabine,DB00987,DNA polymerase beta,P06746
Dacarbazine,DB00851,DNA polymerase alpha subunit B,Q14181
Dacarbazine,DB00851,"6-phosphogluconate dehydrogenase, decarboxylating",P52209
Danazol,DB01406,Estrogen receptor,P03372
Danazol,DB01406,Androgen receptor,P10275
Danazol,DB01406,Progesterone receptor,P06401
Danazol,DB01406,Gonadotropin-releasing hormone receptor,P30968
Danazol,DB01406,Putative gonadotropin-releasing hormone II receptor,Q96P88
Danazol,DB01406,C-C motif chemokine 2,P13500
Dantrolene,DB01219,Ryanodine receptor 1,P21817
Dasatinib,DB01254,Tyrosine-protein kinase ABL1,P00519
Dasatinib,DB01254,Proto-oncogene tyrosine-protein kinase Src,P12931
Dasatinib,DB01254,Ephrin type-A receptor 2,P29317
Dasatinib,DB01254,Tyrosine-protein kinase Lck,P06239
Dasatinib,DB01254,Tyrosine-protein kinase Yes,P07947
Dasatinib,DB01254,Mast/stem cell growth factor receptor Kit,P10721
Dasatinib,DB01254,Platelet-derived growth factor receptor beta,P09619
Dasatinib,DB01254,Signal transducer and activator of transcription 5B,P51692
Dasatinib,DB01254,Abelson tyrosine-protein kinase 2,P42684
Dasatinib,DB01254,Tyrosine-protein kinase Fyn,P06241
Dasatinib,DB01254,Tyrosine-protein kinase BTK,Q06187
Dasatinib,DB01254,Nuclear receptor subfamily 4 group A member 3,Q92570
Dasatinib,DB01254,Breakpoint cluster region protein,P11274
Dasatinib,DB01254,Tyrosine-protein kinase CSK,P41240
Dasatinib,DB01254,Ephrin type-A receptor 5,P54756
Dasatinib,DB01254,Ephrin type-B receptor 4,P54760
Dasatinib,DB01254,Tyrosine-protein kinase Fgr,P09769
Dasatinib,DB01254,Tyrosine-protein kinase FRK,P42685
Dasatinib,DB01254,Heat shock cognate 71 kDa protein,P11142
Dasatinib,DB01254,Tyrosine-protein kinase Lyn,P07948
Dasatinib,DB01254,Mitogen-activated protein kinase kinase kinase MLT,Q9NYL2
Dasatinib,DB01254,Mitogen-activated protein kinase 14,Q16539
Dasatinib,DB01254,Amidophosphoribosyltransferase,Q06203
Daunorubicin,DB00694,DNA topoisomerase 2-alpha,P11388
Daunorubicin,DB00694,DNA topoisomerase 2-beta,Q02880
Decitabine,DB01262,DNA (cytosine-5)-methyltransferase 1,P26358
Decitabine,DB01262,DNA (cytosine-5)-methyltransferase 3A,Q9Y6K1
Decitabine,DB01262,DNA (cytosine-5)-methyltransferase 3B,Q9UBC3
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit alpha-4,P48169
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit beta-1,P18505
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit beta-2,P47870
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit beta-3,P28472
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit delta,O14764
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit epsilon,P78334
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit pi,O00591
Desflurane,DB01189,Gamma-aminobutyric acid receptor subunit theta,Q9UN88
Desflurane,DB01189,Glycine receptor subunit alpha-1,P23415
Desflurane,DB01189,Glutamate receptor 1,P42261
Desflurane,DB01189,Potassium voltage-gated channel subfamily A member 1,Q09470
Desflurane,DB01189,"ATP synthase subunit delta, mitochondrial",P30049
Desflurane,DB01189,NADH-ubiquinone oxidoreductase chain 1,P03886
Desflurane,DB01189,Calcium-transporting ATPase type 2C member 1,P98194
Desflurane,DB01189,Calcium-transporting ATPase type 2C member 2,O75185
Desflurane,DB01189,Plasma membrane calcium-transporting ATPase 1,P20020
Desflurane,DB01189,Plasma membrane calcium-transporting ATPase 2,Q01814
Desflurane,DB01189,Plasma membrane calcium-transporting ATPase 3,Q16720
Desflurane,DB01189,Plasma membrane calcium-transporting ATPase 4,P23634
Desflurane,DB01189,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,O14983
Desflurane,DB01189,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,P16615
Desipramine,DB01151,Sodium-dependent noradrenaline transporter,P23975
Desipramine,DB01151,5-hydroxytryptamine receptor 2A,P28223
Desipramine,DB01151,Beta-2 adrenergic receptor,P07550
Desipramine,DB01151,Sodium-dependent serotonin transporter,P31645
Desipramine,DB01151,Beta-1 adrenergic receptor,P08588
Desipramine,DB01151,Histamine H1 receptor,P35367
Desipramine,DB01151,Sphingomyelin phosphodiesterase,P17405
Desipramine,DB01151,Alpha-1A adrenergic receptor,P35348
Desipramine,DB01151,Alpha-1B adrenergic receptor,P35368
Desipramine,DB01151,Alpha-1D adrenergic receptor,P25100
Desipramine,DB01151,Muscarinic acetylcholine receptor M1,P11229
Desipramine,DB01151,Muscarinic acetylcholine receptor M2,P08172
Desipramine,DB01151,Muscarinic acetylcholine receptor M3,P20309
Desipramine,DB01151,Muscarinic acetylcholine receptor M4,P08173
Desipramine,DB01151,Muscarinic acetylcholine receptor M5,P08912
Desipramine,DB01151,5-hydroxytryptamine receptor 1A,P08908
Desipramine,DB01151,5-hydroxytryptamine receptor 2C,P28335
Desipramine,DB01151,D(2) dopamine receptor,P14416
Desipramine,DB01151,Alpha-2A adrenergic receptor,P08913
Desipramine,DB01151,Alpha-2B adrenergic receptor,P18089
Desipramine,DB01151,Alpha-2C adrenergic receptor,P18825
Desmopressin,DB00035,Vasopressin V2 receptor,P30518
Desmopressin,DB00035,Vasopressin V1a receptor,P37288
Desmopressin,DB00035,Vasopressin V1b receptor,P47901
Desogestrel,DB00304,Progesterone receptor,P06401
Desogestrel,DB00304,Estrogen receptor,P03372
Desonide,DB01260,Glucocorticoid receptor,P04150
Desoximetasone,DB00547,Glucocorticoid receptor,P04150
Dexamethasone,DB01234,Glucocorticoid receptor,P04150
Dexamethasone,DB01234,Nuclear receptor subfamily 0 group B member 1,P51843
Dexamethasone,DB01234,Annexin A1,P04083
Dexamethasone,DB01234,"Nitric oxide synthase, inducible",P35228
Dexamethasone,DB01234,Nuclear receptor subfamily 1 group I member 2,O75469
Dexrazoxane,DB00380,DNA topoisomerase 2-alpha,P11388
Dexrazoxane,DB00380,DNA topoisomerase 2-beta,Q02880
Dextroamphetamine,DB01576,Synaptic vesicular amine transporter,Q05940
Dextroamphetamine,DB01576,Sodium-dependent noradrenaline transporter,P23975
Dextroamphetamine,DB01576,Sodium-dependent dopamine transporter,Q01959
Dextroamphetamine,DB01576,Trace amine-associated receptor 1,Q96RJ0
Dextroamphetamine,DB01576,Alpha-1B adrenergic receptor,P35368
Dextroamphetamine,DB01576,Alpha-1A adrenergic receptor,P35348
Dextroamphetamine,DB01576,Alpha-1B adrenergic receptor,P35368
Dextroamphetamine,DB01576,Alpha-1D adrenergic receptor,P25100
Dextroamphetamine,DB01576,Alpha-2A adrenergic receptor,P08913
Dextroamphetamine,DB01576,Alpha-2B adrenergic receptor,P18089
Dextroamphetamine,DB01576,Alpha-2C adrenergic receptor,P18825
Dextromethorphan,DB00514,Sigma non-opioid intracellular receptor 1,Q99720
Dextromethorphan,DB00514,"HCG20471, isoform CRA_c",Q5T1J1
Dextromethorphan,DB00514,"Glutamate receptor ionotropic, NMDA 3A",Q8TCU5
Dextromethorphan,DB00514,Neuronal acetylcholine receptor subunit alpha-2,Q15822
Dextromethorphan,DB00514,Sodium-dependent serotonin transporter,P31645
Dextromethorphan,DB00514,Membrane-associated progesterone receptor component 1,O00264
Dextromethorphan,DB00514,Neuronal acetylcholine receptor subunit alpha-3,P32297
Dextromethorphan,DB00514,Neuronal acetylcholine receptor subunit alpha-4,P43681
Dextromethorphan,DB00514,Neuronal acetylcholine receptor subunit beta-4,P30926
Dextromethorphan,DB00514,Neuronal acetylcholine receptor subunit beta-2,P17787
Dextromethorphan,DB00514,Neuronal acetylcholine receptor subunit alpha-7,P36544
Dextromethorphan,DB00514,Mu-type opioid receptor,P35372
Dextromethorphan,DB00514,Delta-type opioid receptor,P41143
Dextromethorphan,DB00514,Kappa-type opioid receptor,P41145
Dextromethorphan,DB00514,Cytochrome b-245 heavy chain,P04839
Dextromethorphan,DB00514,Cytochrome b-245 light chain,P13498
Dextromethorphan,DB00514,Neutrophil cytosol factor 1,P14598
Dextromethorphan,DB00514,Neutrophil cytosol factor 2,P19878
Dextromethorphan,DB00514,Neutrophil cytosol factor 4,Q15080
Dextromethorphan,DB00514,Ras-related C3 botulinum toxin substrate 1,P63000
Dextromethorphan,DB00514,Ras-related C3 botulinum toxin substrate 2,P15153
Dextromethorphan,DB00514,Sodium-dependent noradrenaline transporter,P23975
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit alpha-4,P48169
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit beta-1,P18505
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit beta-2,P47870
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit beta-3,P28472
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit delta,O14764
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit epsilon,P78334
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit pi,O00591
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit theta,Q9UN88
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
Diazepam,DB00829,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Diclofenac,DB00586,Prostaglandin G/H synthase 2,P35354
Diclofenac,DB00586,Prostaglandin G/H synthase 1,P23219
Dicyclomine,DB00804,Muscarinic acetylcholine receptor M1,P11229
Dicyclomine,DB00804,Muscarinic acetylcholine receptor M2,P08172
Diethylpropion,DB00937,Sodium-dependent noradrenaline transporter,P23975
Diethylpropion,DB00937,Sodium-dependent dopamine transporter,Q01959
Diethylstilbestrol,DB00255,Estrogen receptor,P03372
Diethylstilbestrol,DB00255,Estrogen-related receptor gamma,P62508
Diethylstilbestrol,DB00255,Estrogen receptor beta,Q92731
Diethylstilbestrol,DB00255,Steroid hormone receptor ERR1,P11474
Diethylstilbestrol,DB00255,Steroid hormone receptor ERR2,O95718
Diethylstilbestrol,DB00255,Nuclear receptor coactivator 2,Q15596
Diethylstilbestrol,DB00255,Nuclear receptor subfamily 1 group I member 2,O75469
Diethylstilbestrol,DB00255,Androgen receptor,P10275
Diethylstilbestrol,DB00255,Sex hormone-binding globulin,P04278
Diflunisal,DB00861,Prostaglandin G/H synthase 2,P35354
Diflunisal,DB00861,Prostaglandin G/H synthase 1,P23219
Digoxin,DB00390,Sodium/potassium-transporting ATPase subunit alpha-1,P05023
Dihydroergotamine,DB00320,5-hydroxytryptamine receptor 1D,P28221
Dihydroergotamine,DB00320,5-hydroxytryptamine receptor 1B,P28222
Dihydroergotamine,DB00320,Alpha-2A adrenergic receptor,P08913
Dihydroergotamine,DB00320,5-hydroxytryptamine receptor 2B,P41595
Dihydrotachysterol,DB01070,Vitamin D3 receptor,P11473
Diltiazem,DB00343,Voltage-dependent calcium channel gamma-1 subunit,Q06432
Diltiazem,DB00343,Voltage-dependent L-type calcium channel subunit alpha-1C,Q13936
Dinoprostone,DB00917,Prostaglandin E2 receptor EP2 subtype,P43116
Dinoprostone,DB00917,Prostaglandin E2 receptor EP1 subtype,P34995
Dinoprostone,DB00917,Prostaglandin E2 receptor EP3 subtype,P43115
Dinoprostone,DB00917,Prostaglandin E2 receptor EP4 subtype,P35408
Dinoprostone,DB00917,Prostaglandin D2 receptor 2,Q9Y5Y4
Diphenhydramine,DB01075,Histamine H1 receptor,P35367
Diphenhydramine,DB01075,Muscarinic acetylcholine receptor M2,P08172
Diphenidol,DB01231,Muscarinic acetylcholine receptor M3,P20309
Diphenidol,DB01231,Muscarinic acetylcholine receptor M1,P11229
Diphenidol,DB01231,Muscarinic acetylcholine receptor M2,P08172
Dipivefrin,DB00449,Alpha-1A adrenergic receptor,P35348
Dipivefrin,DB00449,Alpha-2A adrenergic receptor,P08913
Dipivefrin,DB00449,Beta-2 adrenergic receptor,P07550
Dipivefrin,DB00449,Cholinesterase,P06276
Dipivefrin,DB00449,Acetylcholinesterase,P22303
Dipyridamole,DB00975,"cGMP-specific 3',5'-cyclic phosphodiesterase",O76074
Dipyridamole,DB00975,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",Q9Y233
Dipyridamole,DB00975,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",P27815
Dipyridamole,DB00975,Adenosine deaminase,P00813
Dipyridamole,DB00975,Calcipressin-1,P53805
Dipyridamole,DB00975,Alpha-1-acid glycoprotein 1,P02763
Disopyramide,DB00280,Sodium channel protein type 5 subunit alpha,Q14524
Disopyramide,DB00280,Muscarinic acetylcholine receptor M1,P11229
Disopyramide,DB00280,Muscarinic acetylcholine receptor M2,P08172
Disopyramide,DB00280,Muscarinic acetylcholine receptor M3,P20309
Disopyramide,DB00280,Potassium voltage-gated channel subfamily D member 2,Q9NZV8
Disopyramide,DB00280,Potassium voltage-gated channel subfamily D member 3,Q9UK17
Disopyramide,DB00280,Potassium voltage-gated channel subfamily H member 2,Q12809
Disopyramide,DB00280,Alpha-1-acid glycoprotein 2,P19652
Disulfiram,DB00822,"Aldehyde dehydrogenase, mitochondrial",P05091
Disulfiram,DB00822,Dopamine beta-hydroxylase,P09172
Docetaxel,DB01248,Tubulin beta-1 chain,Q9H4B7
Docetaxel,DB01248,Apoptosis regulator Bcl-2,P10415
Docetaxel,DB01248,Microtubule-associated protein 2,P11137
Docetaxel,DB01248,Microtubule-associated protein 4,P27816
Docetaxel,DB01248,Microtubule-associated protein tau,P10636
Docetaxel,DB01248,Nuclear receptor subfamily 1 group I member 2,O75469
Dofetilide,DB00204,Potassium voltage-gated channel subfamily H member 2,Q12809
Dofetilide,DB00204,Potassium channel subfamily K member 2,O95069
Dofetilide,DB00204,ATP-sensitive inward rectifier potassium channel 12,Q14500
Dolasetron,DB00757,5-hydroxytryptamine receptor 3A,P46098
Donepezil,DB00843,Acetylcholinesterase,P22303
Donepezil,DB00843,5-hydroxytryptamine receptor 2A,P28223
Donepezil,DB00843,Cholinesterase,P06276
Donepezil,DB00843,"Nitric oxide synthase, brain",P29475
Donepezil,DB00843,Tumor necrosis factor-inducible gene 6 protein,P98066
Donepezil,DB00843,Interleukin-1 beta,P01584
Donepezil,DB00843,Nuclear factor NF-kappa-B p100 subunit,Q00653
Donepezil,DB00843,Nuclear factor NF-kappa-B p105 subunit,P19838
Donepezil,DB00843,"Glutamate receptor ionotropic, NMDA 1",Q05586
Donepezil,DB00843,"Glutamate receptor ionotropic, NMDA 2A",Q12879
Donepezil,DB00843,"Glutamate receptor ionotropic, NMDA 2B",Q13224
Donepezil,DB00843,"Glutamate receptor ionotropic, NMDA 2C",Q14957
Donepezil,DB00843,"Glutamate receptor ionotropic, NMDA 2D",O15399
Donepezil,DB00843,"Glutamate receptor ionotropic, NMDA 3A",Q8TCU5
Donepezil,DB00843,"Glutamate receptor ionotropic, NMDA 3B",O60391
Dopamine,DB00988,D(2) dopamine receptor,P14416
Dopamine,DB00988,D(1A) dopamine receptor,P21728
Dopamine,DB00988,D(1B) dopamine receptor,P21918
Dopamine,DB00988,D(3) dopamine receptor,P35462
Dopamine,DB00988,D(4) dopamine receptor,P21917
Dopamine,DB00988,Sodium-dependent dopamine transporter,Q01959
Dopamine,DB00988,Dopamine beta-hydroxylase,P09172
Dopamine,DB00988,5-hydroxytryptamine receptor 1A,P08908
Dopamine,DB00988,5-hydroxytryptamine receptor 7,P34969
Dopamine,DB00988,D(1A) dopamine receptor,P21728
Dopamine,DB00988,D(1B) dopamine receptor,P21918
Dopamine,DB00988,Sodium-dependent noradrenaline transporter,P23975
Dopamine,DB00988,Sodium-dependent serotonin transporter,P31645
Dopamine,DB00988,5-hydroxytryptamine receptor 3A,P46098
Dopamine,DB00988,5-hydroxytryptamine receptor 3B,O95264
Dopamine,DB00988,Superoxide dismutase [Cu-Zn],P00441
Dopamine,DB00988,Synaptic vesicular amine transporter,Q05940
Dorzolamide,DB00869,Carbonic anhydrase 2,P00918
Dorzolamide,DB00869,Carbonic anhydrase 4,P22748
Dorzolamide,DB00869,Carbonic anhydrase 1,P00915
Dorzolamide,DB00869,Carbonic anhydrase 3,P07451
Doxazosin,DB00590,Alpha-1A adrenergic receptor,P35348
Doxazosin,DB00590,Alpha-1D adrenergic receptor,P25100
Doxazosin,DB00590,Potassium voltage-gated channel subfamily H member 2,Q12809
Doxazosin,DB00590,Potassium voltage-gated channel subfamily H member 6,Q9H252
Doxazosin,DB00590,Potassium voltage-gated channel subfamily H member 7,Q9NS40
Doxazosin,DB00590,Alpha-1B adrenergic receptor,P35368
Doxepin,DB01142,Histamine H1 receptor,P35367
Doxepin,DB01142,Histamine H2 receptor,P25021
Doxepin,DB01142,Sodium-dependent noradrenaline transporter,P23975
Doxepin,DB01142,Sodium-dependent serotonin transporter,P31645
Doxepin,DB01142,5-hydroxytryptamine receptor 2A,P28223
Doxepin,DB01142,5-hydroxytryptamine receptor 2B,P41595
Doxepin,DB01142,5-hydroxytryptamine receptor 2C,P28335
Doxepin,DB01142,Muscarinic acetylcholine receptor M1,P11229
Doxepin,DB01142,Muscarinic acetylcholine receptor M2,P08172
Doxepin,DB01142,Muscarinic acetylcholine receptor M3,P20309
Doxepin,DB01142,Muscarinic acetylcholine receptor M4,P08173
Doxepin,DB01142,Muscarinic acetylcholine receptor M5,P08912
Doxepin,DB01142,Alpha-1A adrenergic receptor,P35348
Doxepin,DB01142,Alpha-1B adrenergic receptor,P35368
Doxepin,DB01142,Alpha-1D adrenergic receptor,P25100
Doxepin,DB01142,5-hydroxytryptamine receptor 1A,P08908
Doxepin,DB01142,5-hydroxytryptamine receptor 6,P50406
Doxepin,DB01142,Histamine H4 receptor,Q9H3N8
Doxepin,DB01142,Potassium voltage-gated channel subfamily H member 2,Q12809
Doxorubicin,DB00997,DNA topoisomerase 2-alpha,P11388
Doxorubicin,DB00997,Nucleolar and coiled-body phosphoprotein 1,Q14978
Doxylamine,DB00366,Histamine H1 receptor,P35367
Doxylamine,DB00366,Muscarinic acetylcholine receptor M1,P11229
Doxylamine,DB00366,Muscarinic acetylcholine receptor M2,P08172
Doxylamine,DB00366,Muscarinic acetylcholine receptor M3,P20309
Doxylamine,DB00366,Muscarinic acetylcholine receptor M4,P08173
Doxylamine,DB00366,Muscarinic acetylcholine receptor M5,P08912
Doxylamine,DB00366,Nuclear receptor subfamily 1 group I member 3,Q14994
Drospirenone,DB01395,Progesterone receptor,P06401
Drospirenone,DB01395,Mineralocorticoid receptor,P08235
Drospirenone,DB01395,Androgen receptor,P10275
Drospirenone,DB01395,Glucocorticoid receptor,P04150
Duloxetine,DB00476,Sodium-dependent serotonin transporter,P31645
Duloxetine,DB00476,Sodium-dependent noradrenaline transporter,P23975
Duloxetine,DB00476,Sodium-dependent dopamine transporter,Q01959
Dyphylline,DB00651,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Q07343
Dyphylline,DB00651,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",P27815
Dyphylline,DB00651,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C",Q08493
Dyphylline,DB00651,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Q08499
Dyphylline,DB00651,Adenosine receptor A1,P30542
Dyphylline,DB00651,Adenosine receptor A2a,P29274
Eletriptan,DB00216,5-hydroxytryptamine receptor 1D,P28221
Eletriptan,DB00216,5-hydroxytryptamine receptor 1B,P28222
Eletriptan,DB00216,5-hydroxytryptamine receptor 1F,P30939
